================================================================================
MINIBUS TRAVEL TIME DEBUG LOG
================================================================================

[ARRIVE         ] MINIBUS_3:    8592374 -> 8592378    | travel= 361.8s | occ= 2/8 | t=10265.4s | arrive=10627.2s
[UPDATE_ROUTE   ] MINIBUS_2:    8592374 -> 8592374    | travel=   0.0s | occ= 1/8 | t=10500.0s | arrive=10500.0s
[ARRIVE         ] MINIBUS_2:    8592374 -> 8577741    | travel= 366.0s | occ= 2/8 | t=10500.0s | arrive=10866.0s
[ARRIVE         ] MINIBUS_4:    8589161 -> 8592374    | travel= 100.2s | occ= 1/8 | t=10594.2s | arrive=10694.4s
[ARRIVE         ] MINIBUS_5:    8589131 -> 8589130    | travel= 192.0s | occ= 1/8 | t=10604.4s | arrive=10796.4s
[ARRIVE         ] MINIBUS_3:    8592378 -> 8592374    | travel= 355.8s | occ= 4/8 | t=10627.2s | arrive=10983.0s
[ARRIVE         ] MINIBUS_4:    8592374 -> 8587238    | travel= 328.2s | occ= 2/8 | t=10694.4s | arrive=11022.6s
[UPDATE_ROUTE   ] MINIBUS_5:    8589130 -> 8589130    | travel=   0.0s | occ= 0/8 | t=10800.0s | arrive=10800.0s
[ARRIVE         ] MINIBUS_5:    8589130 -> 8588344    | travel= 297.0s | occ= 1/8 | t=10800.0s | arrive=11097.0s
[ARRIVE         ] MINIBUS_2:    8577741 -> 8589154    | travel=  70.2s | occ= 3/8 | t=10866.0s | arrive=10936.2s
[ARRIVE         ] MINIBUS_2:    8589154 -> 8587255    | travel= 301.2s | occ= 2/8 | t=10936.2s | arrive=11237.4s
[ARRIVE         ] MINIBUS_3:    8592374 -> 8588344    | travel= 489.0s | occ= 5/8 | t=10983.0s | arrive=11472.0s
[ARRIVE         ] MINIBUS_5:    8588344 -> 8592374    | travel= 511.2s | occ= 2/8 | t=11097.0s | arrive=11608.2s
[UPDATE_ROUTE   ] MINIBUS_1:    8592374 -> 8592374    | travel=   0.0s | occ= 0/8 | t=11100.0s | arrive=11100.0s
[ARRIVE         ] MINIBUS_1:    8592374 -> 8504622    | travel= 478.8s | occ= 2/8 | t=11100.0s | arrive=11578.8s
[UPDATE_ROUTE   ] MINIBUS_2:    8587255 -> 8592374    | travel= 190.2s | occ= 1/8 | t=11400.0s | arrive=11590.2s
